canonical_id,opus_raw_id,in_uploaded_opus_merged,in_v0_7_canonical,in_v0_7_public_runtime,id_status,candidate_strategy_field_count,candidate_mechanic_claim_count,ability_by_key_name_mismatch_count,legacy_abilities_dict_name_mismatch_count,risk_flags
wukong,wukong,True,True,True,matched,6,1,0,2,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
xayah,xayah,True,True,True,matched,6,3,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
xin_zhao,xin_zhao,True,True,True,matched,6,3,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
yasuo,yasuo,True,True,True,matched,6,3,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
yone,yone,True,True,True,matched,6,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
yuumi,yuumi,True,True,True,matched,6,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
zed,zed,True,True,True,matched,6,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
zeri,zeri,True,True,True,matched,6,0,0,0,contains_strategy_or_meta_overlay_candidates
ziggs,ziggs,True,True,True,matched,6,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
zilean,zilean,True,True,True,matched,6,3,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
zoe,zoe,True,True,True,matched,6,1,0,2,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
zyra,zyra,True,True,True,matched,6,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
